Property_Price,Market_Volatility,Crime_Rate,School_Rating,Infrastructure_Score,Loan_Interest_Rate,Risk_Level
171958,0.5134121271515553,3.810446074439164,1.3030226039248545,5.704841274056828,11.38528176313052,Medium
196867,0.8578822735168387,3.0722155158508295,2.9316526593292256,5.237806206008591,8.58334126911349,Medium
181932,0.7920259671838578,2.8556754806658375,4.74509285263983,6.904495197781336,10.233797124105864,Medium
415838,0.15961238006667927,6.741647139843731,7.836502858298168,6.036209690188078,3.7535244406081354,Low
309178,0.14127513976416967,3.311954628811433,2.690585672839967,7.183352355242325,6.473455598432347,Low
169879,0.6587251159798821,6.688139374183766,7.478123080192175,6.9227432627427135,6.365524210311607,Medium
160268,0.41267206740287277,1.5260915269769852,8.802401215166952,2.053105523721516,10.97659394810146,Low
257892,0.28821771197066276,2.2759695417439167,5.0855216329752135,8.197461222568476,4.362340541369474,Low
104886,0.6216849410245645,3.4708622860011284,8.39288792478334,2.109093181446924,4.366975551029673,Low
187337,0.40740688941089054,6.373422252061225,5.99191613231586,7.286775626882234,5.957023348972186,Low
480410,0.5835370750426631,7.082571205786384,6.7338175337281445,4.745308308765461,3.4901944263015383,Medium
137498,0.5141072430852148,4.984452701015744,5.736506143043824,5.624656611189382,4.64212236587241,Low
424871,0.6262894953542383,5.0121182311950605,5.168554450762076,9.129682129381395,11.686886746911616,Medium
438468,0.4602704400192532,7.520651662587563,3.1118809759826442,9.008953538261379,6.853655458804555,Medium
225203,0.7279008163272386,1.142389825890242,3.7287465351494147,8.360706750895265,8.688172875801929,Low
241335,0.2620605451143687,4.069810220267985,3.609731070492481,5.5913354241069095,9.535001334101732,Medium
328167,0.7268513196043711,8.368363514073096,6.069600378584332,7.626158291204498,6.302652663064804,Medium
91090,0.47049509292177527,6.42897469192035,2.0795832372150094,5.616073499669285,4.325043669694653,Medium
379365,0.8868858443689754,4.035044194798783,9.251125216321016,8.826454742272997,4.859229145996027,Low
114820,0.5637124493777897,9.149723130967065,7.485896307548019,4.624982499096099,5.819398289225493,Medium
312913,0.9757993143430939,7.953604547044443,4.6130106782187426,9.732118099733892,8.72461578317003,High
371879,0.6417418559868642,3.384059025130601,2.427617300737402,9.390904824059898,6.58452494180149,Low
244027,0.30146415931568854,6.807608537731452,8.937929527494724,7.674423575066069,3.061332281101153,Low
377069,0.8396115731600042,6.36175655370061,8.414002810910487,3.514742957584648,7.710664665607247,Medium
302709,0.4105743650401481,4.610691226350844,7.495493974454614,2.1848822991393257,11.29362052716676,Medium
249041,0.4128572930344152,4.3026047128432054,3.4439234267011813,8.692331050838778,10.308698499078112,Medium
317455,0.1286242133366486,4.092044272981336,4.62201973690302,2.4877205752416516,10.42690234133668,Medium
153355,0.5938437782866678,6.554402050560821,1.9247342720718104,8.68834710097602,10.155522158455181,High
285796,0.5809811533592707,4.981689428326026,2.7013557225477856,5.416885060411244,5.913577430493813,Medium
264176,0.4203923358447875,8.486768019262797,8.047149735850596,4.659011054272938,9.886744503789528,Medium
234779,0.9047955366063332,7.026423545205657,7.435348469656154,9.128717009509861,4.288452220300737,Medium
397449,0.21587355846967954,1.6293844513849072,6.341371866783412,6.434658842862501,8.919445325483583,Low
471909,0.3970895619791399,6.761514014453494,9.061540533335556,6.18952606416746,8.77411710016495,Low
308795,0.38942448821202613,3.4403269285016633,6.249398660317409,6.028893501619579,3.230128191807612,Low
442752,0.18306152760587147,6.335307924880804,5.202711999672497,4.3405256441757825,10.091731202318385,Medium
206730,0.5330308546506639,7.1211873799310625,4.063336716751865,8.070787931762144,11.129232945856176,High
396622,0.7190062453864747,3.0774627023861085,9.464036551625552,3.275185996141957,5.4067375062489695,Low
434681,0.5604913121925351,5.111727803923317,1.7444391537191815,9.450054640371475,10.311516517675358,Medium
199503,0.24127991444457436,2.71292376537161,9.377986348547276,9.045866845422648,3.741653746757534,Low
180523,0.4395573687178653,1.471049882078575,8.440431939379165,4.037322931074083,8.399710724349594,Low
52747,0.10233552194528191,4.406287811372822,2.1693693208213114,7.565173928484974,7.370821788008494,Low
173855,0.8814709963320282,4.266498446613928,6.084859219077282,6.159008750046323,7.913311799781,Medium
115725,0.17606530691261374,9.959324416338314,8.798931835741783,4.038843717993111,11.335846816959105,Medium
179981,0.6375502740298875,5.01717116077878,6.146282472464383,9.896694831959021,10.841837225221681,Medium
134654,0.9876312962801336,4.002125945249803,9.1647983940456,1.2271361126343778,10.065752915157812,Medium
478989,0.5829315813885992,6.224275060450072,9.486854351344382,3.27381427559158,5.463286119105339,Low
431490,0.9316375831966898,1.7989065469699161,4.801460699658753,5.680666550000353,11.206367658174825,Medium
117435,0.3125048798056639,9.654991623593318,4.395822952656912,5.697577031307075,3.8775692321748774,Medium
369030,0.783959868043827,6.714640410319298,9.42689038572241,6.300397674510077,10.67996294902909,Medium
378947,0.5781391785761807,7.79354037946763,7.076260550347013,7.765085548206273,5.95344065118247,Medium
81551,0.7484644552523183,2.534301443565258,2.0442041321335234,6.611300474673667,3.4839508049578503,Low
428360,0.1561072262601173,4.685300677046835,1.3806257430041309,6.402533144752333,9.024212858166734,Medium
323538,0.23296518271560404,4.804202020565706,6.081661458975368,1.4816301662173896,5.081519354843599,Low
381236,0.21980523572873045,8.396257995109782,9.37153868894582,4.3887725901036845,5.192140132781687,Low
53890,0.718448954862998,1.011130117834685,8.598238321652365,3.0885016573104043,5.7544244960589435,Low
91606,0.8599966053702659,3.707677975179296,7.082629718179028,3.388331004417779,3.5731629075226508,Low
306840,0.7746546088077286,9.831127369098734,2.2520426400197877,5.989037269063104,4.594144297784286,High
399457,0.12742493746023476,5.273978891555967,3.2880824537382605,2.795547834366476,3.0462566482700426,Low
191699,0.8804934829672509,4.442736522196075,8.879601038973545,3.6455419091520778,7.008685689952081,Medium
320936,0.4187320037138129,2.078461018158817,2.6452651299121044,3.133762376656061,3.7582983967617416,Low
289931,0.4574474492536743,9.76748165765214,3.505954674253911,9.536526488963753,9.14387344539779,High
289629,0.1943822498792328,1.1802372033324202,2.1664058607589776,9.501991589539857,5.120605660724836,Low
255041,0.7636646854844372,7.634622025065188,7.0849740827297,6.489474027364466,11.492167296316595,High
224073,0.26405549062836225,7.917398243096576,9.495840748268886,9.3207022185871,10.841264646587874,Low
257624,0.6075685828169527,3.1929104445747996,3.4207122843584736,8.072313809215359,5.604968054713874,Low
467113,0.856638987290138,7.044025992517335,5.2786594706506635,6.309530945216279,10.048939091910109,High
118148,0.18028389584085058,1.8363622994145095,6.709057657400838,1.0579169034711615,10.229204141983256,Low
302801,0.5818020076139712,3.313425397888719,9.995196233940677,7.952646574714636,11.879068027029694,Low
174243,0.3098947703948211,8.091117894630385,1.943272584978149,7.322395074296219,8.380559881611164,High
301995,0.4086341778504342,8.782175728301862,5.487137195551382,6.537282879541726,3.7376916117929597,Medium
432318,0.5265729472875006,6.476377713938122,4.4660810791225005,7.843818805142245,8.821535060337428,Medium
204555,0.4195938729513743,5.561545886384343,8.792381487001197,5.616299482972892,8.624817735384317,Low
436502,0.6839405562624183,2.433736185570823,5.283709579104903,7.336749441892052,8.745155196783886,Low
98555,0.5316238915788252,1.5679812977123515,1.9987977212663328,9.41654878053844,5.764310832937904,Low
306508,0.6257795362427523,2.0588412562620277,6.709817307579253,4.382245142614776,10.737116265722996,Low
329303,0.7631402278554216,3.046215700864889,7.937025564374918,7.373096514105629,11.635249646598707,Low
422654,0.6019680393553937,4.075070517072287,1.0259312649905312,5.281190362098629,4.959412616803364,Medium
156530,0.6278818911946832,4.428185729598885,8.730610168785667,7.069596866325834,3.7933694232298,Low
130077,0.6080126882703771,4.116895917301032,2.6742070000509908,7.866040019989277,4.750815298516357,Low
348064,0.4408953633561604,3.1514979897753905,5.968624281880401,1.4090725039221637,10.38496925330147,Medium
250551,0.40370215048472635,5.587518220765284,4.742177506187051,6.819403995537957,9.089801713378627,Medium
331601,0.909682657430511,8.427574974096071,7.476884349494774,3.040670659662501,8.72442608105214,High
258261,0.6467997000642155,3.517331846243313,4.340454533071677,7.030292840268101,6.6161382159848205,Low
290181,0.3199178399181891,9.481483171920098,8.827868590135397,5.214971673404321,8.200451743602923,Medium
391097,0.5484229280640461,8.86002995551463,7.574467248629112,7.961974676783985,5.770867127469307,Medium
365139,0.39731363315282264,2.4558779021689867,6.829418539566293,2.110607336850368,7.294800714761651,Low
221829,0.9403226413838871,8.07648361081385,8.166165360065689,6.636901164905756,10.137567255335902,High
321836,0.10678092682066727,6.1712864408599,7.7862073143554404,3.506236560347971,11.83117437709916,Medium
488974,0.3027995179412754,6.099178259542767,1.32344807429398,8.676837957975323,11.392400312308217,Medium
252283,0.42882113770665187,4.51938486752357,4.552609184603453,9.355451550726768,11.404793485616239,Medium
246769,0.5390288207278642,5.510376992638087,9.377265675848408,9.967584643111499,6.620013613624011,Low
87065,0.8657357660525316,4.574608996862899,2.131518420930036,8.16406662184555,7.219108924561119,Medium
273165,0.1790988620861295,5.857593568839485,7.633868953888461,7.783606633852041,9.350718567320833,Low
149299,0.8252783980670291,6.651550474953723,9.771326302017966,2.9395068298079594,11.299727352461558,High
475822,0.15008814042127783,7.068734257681435,1.4697876614047447,4.024063530910979,4.277948334168762,Medium
61534,0.8580826317683634,5.792330733034835,7.139744925639494,5.191142875860516,5.738176774444762,Medium
90397,0.14647193008706155,7.492798605958585,5.213387271709274,7.960429430040247,4.2532216013469855,Low
307750,0.11641823328552495,2.271502443479552,6.2125772983725,9.234692785701718,8.508076769635098,Low
403531,0.7272653161297794,2.907842418120147,1.7680720283589237,2.7022519002068615,5.7567089719878375,Medium
313160,0.9975299812915549,8.36861503666843,1.3870625668024554,9.301307362030926,5.9349706726131615,High
105591,0.9069492366766188,3.902751800617737,7.001799944958295,7.2606218711865225,3.638243635391813,Low
270884,0.618398576025094,1.2060444247850821,8.40978486838646,6.496936576165347,6.148164556268327,Low
73247,0.9256560517769785,2.3841203470122796,8.038138014396704,2.7985714415374554,10.762468566614269,Medium
74300,0.10477000575784488,3.0125299104668013,5.894251550796136,1.499725295282355,5.097655307017515,Low
132798,0.9775604466506282,9.615905991051285,1.8988013902256036,6.116184086571459,9.256687195890592,High
59268,0.541673901332906,6.157372860377643,7.192399994524124,6.863641149960031,8.666655104447333,Medium
398951,0.7506064869595981,9.394576664286294,3.1769999519873133,2.8970330441921943,10.771361475322038,High
324329,0.8387753258380173,6.176470154469625,9.199618324906453,6.008105852429107,4.190591528859344,Low
